Category,GP,G,DFGM,DFGA,DFG%,FREQ%,FG%,DIFF%
"Overall",11,11,6.6,13.9,47.7,100,47.3,0.4
"3 Pointers",11,11,1.9,5.5,35.0,39.2,35.4,-0.4
"2 Pointers",11,11,4.7,8.4,55.9,60.8,54.5,1.5
"Less Than 6 Ft",11,11,3.5,5.5,62.3,39.9,62.3,0.0
"Less Than 10 Ft",11,11,3.7,6.4,58.6,45.8,57.9,0.7
"Greater Than 15 Ft",11,11,2.4,6.4,37.1,45.8,36.2,1.0

