Category,GP,G,Freq%,FGM,FGA,FG%,eFG%,2Freq%,2FGM,2FGA,2FG%,3Freq%,3PM,3PA,3P%
"0 Dribbles",11,11,55.4,2.8,5.6,50.0,66.1,20.5,1.0,2.1,47.8,34.8,1.8,3.5,51.3
"1 Dribble",11,8,12.5,0.6,1.3,50.0,50.0,11.6,0.6,1.2,53.8,0.9,0.0,0.1,0.0
"2 Dribbles",11,10,19.6,0.5,2.0,22.7,22.7,19.6,0.5,2.0,22.7,0.0,0.0,0.0,-
"3-6 Dribbles",11,7,9.8,0.6,1.0,54.5,54.5,9.8,0.6,1.0,54.5,0.0,0.0,0.0,-
"7+ Dribbles",11,3,2.7,0.0,0.3,0.0,0.0,2.7,0.0,0.3,0.0,0.0,0.0,0.0,-
