Player,Team,FREQ M%,PASS,AST,FGM,FGA,FG%,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%
"Knecht, Dalton","LAL",3.7,0.9,0.3,0.3,0.3,100,0.0,0.0,-,0.3,0.3,100
"Christie, Max","LAL",1.5,0.4,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-
"Reaves, Austin","LAL",28.9,7.2,0.3,0.4,1.1,33.3,0.1,0.3,33.3,0.3,0.8,33.3
"Hayes, Jaxson","LAL",0.7,0.2,0.1,0.1,0.2,50.0,0.1,0.2,50.0,0.0,0.0,-
"Reddish, Cam","LAL",4.0,1.0,0.2,0.2,0.3,66.7,0.0,0.0,-,0.2,0.3,66.7
"Vincent, Gabe","LAL",2.2,0.6,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,-
"Russell, D'Angelo","LAL",24.9,6.2,0.3,0.5,0.9,50.0,0.4,0.6,66.7,0.1,0.4,25.0
"Davis, Anthony","LAL",9.9,2.5,0.3,0.5,1.1,41.7,0.5,1.1,41.7,0.0,0.0,-
"James, LeBron","LAL",24.2,6.0,0.3,0.6,1.6,35.3,0.4,0.8,44.4,0.2,0.7,25.0
