Category,GP,G,Freq%,FGM,FGA,FG%,eFG%,2Freq%,2FGM,2FGA,2FG%,3Freq%,3PM,3PA,3P%
"Catch and Shoot",11,11,37.5,1.9,3.8,50.0,73.8,3.6,0.1,0.4,25.0,33.9,1.8,3.5,52.6
"Pull Ups",11,8,11.6,0.2,1.2,15.4,15.4,10.7,0.2,1.1,16.7,0.9,0.0,0.1,0.0
"Less than 10 ft",11,11,50.0,2.4,5.1,46.4,46.4,50.0,2.4,5.1,46.4,0.0,0.0,0.0,-
"Other",11,1,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,-,0.9,0.0,0.1,0.0
