Category,GP,G,Freq%,FGM,FGA,FG%,eFG%,2Freq%,2FGM,2FGA,2FG%,3Freq%,3PM,3PA,3P%
Catch and Shoot,17,15,35.2,1.3,3.3,39.3,58.9,0.0,0.0,0.0,-,35.2,1.3,3.3,39.3
Pull Ups,17,17,25.8,0.7,2.4,26.8,37.8,5.0,0.1,0.5,25.0,20.8,0.5,1.9,27.3
Less than 10 ft,17,17,39.0,2.4,3.6,64.5,64.5,39.0,2.4,3.6,64.5,0.0,0.0,0.0,-
