Category,GP,G,Freq%,FGM,FGA,FG%,eFG%,2Freq%,2FGM,2FGA,2FG%,3Freq%,3PM,3PA,3P%
0 Dribbles,17,17,44.0,1.9,4.1,45.7,61.4,8.8,0.6,0.8,71.4,35.2,1.3,3.3,39.3
1 Dribble,17,12,13.8,0.5,1.3,36.4,43.2,6.9,0.3,0.7,45.5,6.9,0.2,0.7,27.3
2 Dribbles,17,8,5.7,0.3,0.5,55.6,55.6,4.4,0.3,0.4,71.4,1.3,0.0,0.1,0.0
3-6 Dribbles,17,14,25.2,1.3,2.4,55.0,62.5,16.4,0.9,1.5,61.5,8.8,0.3,0.8,42.9
7+ Dribbles,17,12,11.3,0.3,1.1,33.3,33.3,7.5,0.3,0.7,50.0,3.8,0.0,0.3,0.0
