Category,GP,G,DFGM,DFGA,DFG%,FREQ%,FG%,DIFF%
3 Pointers,17,17,1.5,5.1,30.2,37.7,36.7,-6.5
2 Pointers,17,17,4.7,8.3,55.6,62.3,54.4,1.3
Less Than 6 Ft,17,17,3.6,5.2,68.5,39.0,63.3,5.3
Less Than 10 Ft,17,17,4.1,6.5,63.1,48.7,58.9,4.1
Overall,17,17,6.2,13.4,46.1,100.0,47.0,-0.9
Greater Than 15 Ft,17,17,1.8,5.8,31.6,43.0,36.8,-5.2
