Category,GP,G,Freq%,FGM,FGA,FG%,eFG%,2Freq%,2FGM,2FGA,2FG%,3Freq%,3PM,3PA,3P%
"Catch and Shoot",16,15,17.6,1.3,3.0,43.8,63.5,1.8,0.1,0.3,40.0,15.8,1.2,2.7,44.2
"Pull Ups",16,16,32.0,2.1,5.4,39.1,48.9,15.8,1.1,2.7,39.5,16.2,1.1,2.8,38.6
"Less than 10 ft",16,16,47.8,5.1,8.1,62.3,62.3,47.8,5.1,8.1,62.3,0.0,0.0,0.0,-
"Other",16,6,2.6,0.2,0.4,42.9,57.1,1.5,0.1,0.3,25.0,1.1,0.1,0.2,66.7
