Category,GP,G,DFGM,DFGA,DFG%,FREQ%,FG%,DIFF%
"3 Pointers",16,16,1.4,4.8,28.6,46.7,35.6,-7.0
"2 Pointers",16,16,2.9,5.5,52.3,53.3,55.4,-3.2
"Less Than 6 Ft",16,15,2.1,3.1,67.3,29.7,63.1,4.3
"Less Than 10 Ft",16,16,2.5,4.4,56.3,43.0,58.6,-2.3
"Overall",16,16,4.3,10.3,41.2,100,47.4,-6.2
"Greater Than 15 Ft",16,16,1.4,5.2,27.7,50.3,36.1,-8.4


