Category,GP,G,Freq%,FGM,FGA,FG%,eFG%,2Freq%,2FGM,2FGA,2FG%,3Freq%,3PM,3PA,3P%
Catch and Shoot,18,18,44.3,2.8,6.0,47.2,70.8,0.4,0.0,0.1,0.0,43.9,2.8,5.9,47.7
Pull Ups,18,18,32.4,1.7,4.4,39.2,50.0,9.4,0.8,1.3,60.9,23.0,0.9,3.1,30.4
Less than 10 ft,18,17,23.0,1.8,3.1,58.9,58.9,23.0,1.8,3.1,58.9,0.0,0.0,0.0,-
Other,18,1,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,-,0.4,0.0,0.1,0.0
