Category,GP,G,DFGM,DFGA,DFG%,FREQ%,FG%,DIFF%
3 Pointers,18,18,1.5,5.1,29.7,36.5,37.7,-8.0
2 Pointers,18,18,4.4,8.8,50.0,63.5,52.3,-2.3
Less Than 6 Ft,18,18,3.2,5.4,58.8,39.0,59.7,-1.0
Less Than 10 Ft,18,18,3.4,6.6,51.3,47.8,56.1,-4.9
Overall,18,18,5.9,13.8,42.6,100.0,46.0,-3.5
Greater Than 15 Ft,18,18,1.8,5.9,31.1,42.6,37.5,-6.4
