Category,GP,G,Freq%,FGM,FGA,FG%,eFG%,2Freq%,2FGM,2FGA,2FG%,3Freq%,3PM,3PA,3P%
0 Dribbles,18,18,48.8,3.1,6.6,47.1,68.5,4.5,0.3,0.6,45.5,44.3,2.8,6.0,47.2
1 Dribble,18,16,11.1,0.7,1.5,44.4,55.6,2.9,0.3,0.4,85.7,8.2,0.3,1.1,30.0
2 Dribbles,18,14,8.6,0.7,1.2,57.1,66.7,4.5,0.4,0.6,72.7,4.1,0.2,0.6,40.0
3-6 Dribbles,18,15,18.4,1.4,2.5,55.6,60.0,14.3,1.2,1.9,60.0,4.1,0.2,0.6,40.0
7+ Dribbles,18,15,13.1,0.6,1.8,31.3,35.9,6.6,0.4,0.9,43.8,6.6,0.2,0.9,18.8
