Category,GP,G,Freq%,FGM,FGA,FG%,eFG%,2Freq%,2FGM,2FGA,2FG%,3Freq%,3PM,3PA,3P%
Catch and Shoot,14,14,73.8,2.4,5.4,43.4,64.5,2.9,0.1,0.2,33.3,70.9,2.3,5.2,43.8
Pull Ups,14,1,1.0,0.1,0.1,100.0,150.0,0.0,0.0,0.0,-,1.0,0.1,0.1,100
Less than 10 ft,14,14,25.2,1.2,1.9,65.4,65.4,25.2,1.2,1.9,65.4,0.0,0.0,0.0,-
