Category,GP,G,Freq%,FGM,FGA,FG%,eFG%,2Freq%,2FGM,2FGA,2FG%,3Freq%,3PM,3PA,3P%
0 Dribbles,14,14,90.3,3.3,6.6,49.5,66.7,19.4,1.0,1.4,70.0,70.9,2.3,5.2,43.8
1 Dribble,14,4,3.9,0.2,0.3,75.0,87.5,2.9,0.1,0.2,66.7,1.0,0.1,0.1,100
2 Dribbles,14,4,3.9,0.1,0.3,50.0,50.0,3.9,0.1,0.3,50.0,0.0,0.0,0.0,-
3-6 Dribbles,14,2,1.9,0.0,0.1,0.0,0.0,1.9,0.0,0.1,0.0,0.0,0.0,0.0,-
