Category,GP,G,DFGM,DFGA,DFG%,FREQ%,FG%,DIFF%
Overall,14,14,7.8,15.4,50.5,100.0,49.8,0.7
3 Pointers,14,14,1.9,4.9,39.1,31.9,36.4,2.8
2 Pointers,14,14,5.9,10.5,55.8,68.1,56.2,-0.4
Less Than 6 Ft,14,14,3.6,5.6,64.1,36.1,64.6,-0.5
Less Than 10 Ft,14,14,4.6,7.7,60.2,50.0,60.2,0.0
Greater Than 15 Ft,14,14,2.4,6.6,36.6,43.1,38.8,-2.3
