Category,GP,G,DFGM,DFGA,DFG%,FREQ%,FG%,DIFF%
Overall,18,18,3.8,7.9,47.9,100,45.6,2.3
3 Pointers,18,16,1.1,3.0,35.2,38.0,36.3,-1.1
2 Pointers,18,18,2.7,4.9,55.7,62.0,51.9,3.8
Less Than 6 Ft,18,16,1.6,2.3,66.7,29.6,61.0,5.7
Less Than 10 Ft,18,17,2.2,3.6,60.0,45.8,56.8,3.2
Greater Than 15 Ft,18,17,1.3,3.4,37.1,43.7,37.7,-0.6

