Category,GP,G,Freq%,FGM,FGA,FG%,eFG%,2Freq%,2FGM,2FGA,2FG%,3Freq%,3PM,3PA,3P%
Catch and Shoot,18,18,50.5,2.5,5.3,47.4,70.5,1.1,0.1,0.1,50.0,49.5,2.4,5.2,47.3
Pull Ups,18,18,37.2,1.6,3.9,41.4,55.0,8.0,0.6,0.8,66.7,29.3,1.1,3.1,34.5
Less than 10 ft,18,15,12.2,0.8,1.3,65.2,65.2,12.2,0.8,1.3,65.2,0.0,0.0,0.0,-
