Category,GP,G,Freq%,FGM,FGA,FG%,eFG%,2Freq%,2FGM,2FGA,2FG%,3Freq%,3PM,3PA,3P%
0 Dribbles,18,18,54.3,2.7,5.7,47.1,68.6,4.8,0.2,0.5,44.4,49.5,2.4,5.2,47.3
1 Dribble,18,12,10.6,0.6,1.1,55.0,77.5,1.1,0.1,0.1,100,9.6,0.5,1.0,50.0
2 Dribbles,18,5,3.2,0.1,0.3,33.3,41.7,1.1,0.1,0.1,50.0,2.1,0.1,0.2,25.0
3-6 Dribbles,18,15,18.6,0.9,1.9,48.6,54.3,8.5,0.7,0.9,81.3,10.1,0.2,1.1,21.1
7+ Dribbles,18,14,13.3,0.6,1.4,44.0,54.0,5.9,0.3,0.6,54.5,7.4,0.3,0.8,35.7
