Category,GP,G,DFGM,DFGA,DFG%,FREQ%,FG%,DIFF%
Overall,14,14,5.6,12.1,46.5,100.0,47.0,-0.5
3 Pointers,14,14,1.5,5.2,28.8,42.9,37.3,-8.5
2 Pointers,14,14,4.1,6.9,59.8,57.1,54.5,5.3
Less Than 6 Ft,14,13,2.5,3.9,63.6,32.4,62.9,0.8
Less Than 10 Ft,14,14,3.3,5.4,61.3,44.1,58.4,2.9
Greater Than 15 Ft,14,14,1.8,5.9,30.1,48.8,37.2,-7.1
