Category,GP,G,Freq%,FGM,FGA,FG%,eFG%,2Freq%,2FGM,2FGA,2FG%,3Freq%,3PM,3PA,3P%
0 Dribbles,14,14,27.5,2.1,5.4,40.0,53.3,5.9,0.7,1.1,62.5,21.6,1.4,4.2,33.9
1 Dribble,14,14,9.9,1.1,1.9,55.6,66.7,5.1,0.6,1.0,64.3,4.8,0.4,0.9,46.2
2 Dribbles,14,12,10.3,1.1,2.0,53.6,57.1,7.3,0.9,1.4,65.0,2.9,0.1,0.6,25.0
3-6 Dribbles,14,14,29.3,2.5,5.7,43.8,46.3,24.9,2.2,4.9,45.6,4.4,0.3,0.9,33.3
7+ Dribbles,14,14,23.1,1.8,4.5,39.7,42.1,18.3,1.6,3.6,44.0,4.8,0.2,0.9,23.1
