Category,GP,G,Freq%,FGM,FGA,FG%,eFG%,2Freq%,2FGM,2FGA,2FG%,3Freq%,3PM,3PA,3P%
Catch and Shoot,14,14,22.0,1.5,4.3,35.0,51.7,0.4,0.1,0.1,100.0,21.6,1.4,4.2,33.9
Pull Ups,14,14,34.8,2.5,6.8,36.8,44.7,17.9,1.4,3.5,40.8,16.8,1.1,3.3,32.6
Less than 10 ft,14,14,42.9,4.6,8.4,54.7,54.7,42.9,4.6,8.4,54.7,0.0,0.0,0.0,-
Other,14,1,0.4,0.0,0.1,0.0,0.0,0.4,0.0,0.1,0.0,0.0,0.0,0.0,-
