Category,GP,G,Freq%,FGM,FGA,FG%,eFG%,2Freq%,2FGM,2FGA,2FG%,3Freq%,3PM,3PA,3P%
Catch and Shoot,13,8,51.9,0.2,1.1,21.4,32.1,0.0,0.0,0.0,-,51.9,0.2,1.1,21.4
Pull Ups,13,1,3.7,0.0,0.1,0.0,0.0,0.0,0.0,0.0,-,3.7,0.0,0.1,0.0
Less than 10 ft,13,7,44.4,0.3,0.9,33.3,33.3,44.4,0.3,0.9,33.3,0.0,0.0,0.0,-
