Category,GP,G,Freq%,FGM,FGA,FG%,eFG%,2Freq%,2FGM,2FGA,2FG%,3Freq%,3PM,3PA,3P%
0 Dribbles,13,9,66.7,0.4,1.4,27.8,36.1,14.8,0.1,0.3,50.0,51.9,0.2,1.1,21.4
1 Dribble,13,2,14.8,0.1,0.3,25.0,25.0,11.1,0.1,0.2,33.3,3.7,0.0,0.1,0.0
2 Dribbles,13,3,11.1,0.1,0.2,33.3,33.3,11.1,0.1,0.2,33.3,0.0,0.0,0.0,-
3-6 Dribbles,13,2,7.4,0.0,0.1,0.0,0.0,7.4,0.0,0.1,0.0,0.0,0.0,0.0,-
