Category,GP,G,DFGM,DFGA,DFG%,FREQ%,FG%,DIFF%
3 Pointers,11,10,0.9,1.8,50.0,36.4,39.8,10.2
2 Pointers,11,10,1.8,3.2,57.1,63.6,51.7,5.4
Less Than 6 Ft,11,7,1.4,2.2,66.7,43.6,62.1,4.6
Less Than 10 Ft,11,9,1.6,2.5,60.7,50.9,58.6,2.1
Overall,11,11,2.7,5.0,54.5,100,45.4,9.2
Greater Than 15 Ft,11,11,1.1,2.3,48.0,45.5,38.9,9.1

