Category,GP,G,Freq%,FGM,FGA,FG%,eFG%,2Freq%,2FGM,2FGA,2FG%,3Freq%,3PM,3PA,3P%
Catch and Shoot,16,13,48.4,0.4,1.9,23.3,35.0,0.0,0.0,0.0,-,48.4,0.4,1.9,23.3
Pull Ups,16,9,29.0,0.3,1.1,27.8,30.6,14.5,0.3,0.6,44.4,14.5,0.1,0.6,11.1
Less than 10 ft,16,12,22.6,0.4,0.9,50.0,50.0,22.6,0.4,0.9,50.0,0.0,0.0,0.0,-
