Category,GP,G,DFGM,DFGA,DFG%,FREQ%,FG%,DIFF%
3 Pointers,16,15,0.8,2.4,34.2,38.4,38.1,-3.9
2 Pointers,16,16,2.3,3.8,59.0,61.6,52.3,6.7
Less Than 6 Ft,16,14,1.4,2.2,62.9,35.4,58.5,4.3
Less Than 10 Ft,16,16,1.8,3.0,60.4,48.5,54.9,5.5
Overall,16,16,3.1,6.2,49.5,100,45.6,3.9
Greater Than 15 Ft,16,15,1.0,2.6,39.0,41.4,37.8,1.2
