Category,GP,G,DFGM,DFGA,DFG%,FREQ%,FG%,DIFF%
3 Pointers,16,16,2.3,5.3,42.9,33.7,33.4,9.5
2 Pointers,16,16,5.6,10.3,54.5,66.3,51.4,3.1
Less Than 6 Ft,16,15,3.2,5.4,59.3,34.5,60.1,-0.8
Less Than 10 Ft,16,15,4.1,7.3,56.0,46.6,55.2,0.8
Overall,16,16,7.9,15.6,50.6,100,44.5,6.1
Greater Than 15 Ft,16,16,2.8,6.6,42.9,42.2,35.3,7.5
