Category,GP,G,Freq%,FGM,FGA,FG%,eFG%,2Freq%,2FGM,2FGA,2FG%,3Freq%,3PM,3PA,3P%
Catch and Shoot,15,15,64.4,1.6,4.5,35.8,53.7,0.0,0.0,0.0,-,64.4,1.6,4.5,35.8
Pull Ups,15,12,22.1,0.6,1.5,39.1,52.2,3.8,0.2,0.3,75.0,18.3,0.4,1.3,31.6
Less than 10 ft,15,9,13.5,0.7,0.9,71.4,71.4,13.5,0.7,0.9,71.4,0.0,0.0,0.0,-
