Category,GP,G,DFGM,DFGA,DFG%,FREQ%,FG%,DIFF%
3 Pointers,15,13,0.9,2.2,39.4,31.4,39.4,0.0
2 Pointers,15,15,2.1,4.8,44.4,68.6,52.4,-8.0
Less Than 6 Ft,15,14,1.3,2.8,47.6,40.0,60.2,-12.6
Less Than 10 Ft,15,14,1.6,3.5,45.3,50.5,57.6,-12.3
Overall,15,15,3.0,7.0,42.9,100,46.2,-3.4
Greater Than 15 Ft,15,14,1.1,2.7,40.0,38.1,39.4,0.6

