Category,GP,G,Freq%,FGM,FGA,FG%,eFG%,2Freq%,2FGM,2FGA,2FG%,3Freq%,3PM,3PA,3P%
Catch and Shoot,16,4,5.6,0.1,0.3,50.0,50.0,2.8,0.1,0.1,100.0,2.8,0.0,0.1,0.0
Less than 10 ft,16,14,94.4,2.8,4.3,64.7,64.7,94.4,2.8,4.3,64.7,0.0,0.0,0.0,-
