Category,GP,G,DFGM,DFGA,DFG%,FREQ%,FG%,DIFF%
Overall,15,15,5.9,12.1,48.4,100.0,48.7,-0.4
3 Pointers,15,14,1.2,3.3,36.7,26.9,35.9,0.8
2 Pointers,15,15,4.7,8.9,52.6,73.1,54.7,-2.1
Less Than 6 Ft,15,15,3.4,5.9,58.0,48.4,61.0,-3.0
Less Than 10 Ft,15,15,4.1,7.5,54.5,61.5,57.9,-3.5
Greater Than 15 Ft,15,14,1.5,3.9,37.9,31.9,35.6,2.3
