Category,GP,Freq%,FGM,FGA,FG%,eFG%,2Freq%,2FGM,2FGA,2FG%,3Freq%,3PM,3PA,3P%
0 Dribbles,18,47.7,20.1,42.9,46.8,61.7,12.6,7.3,11.3,64.5,35.2,12.8,31.6,40.4
1 Dribble,18,11.6,4.8,10.4,46.3,57.2,4.6,2.6,4.1,62.2,7.1,2.3,6.3,36.0
2 Dribbles,18,7.5,3.6,6.8,53.3,59.8,4.9,2.7,4.4,62.0,2.7,0.9,2.4,37.2
3-6 Dribbles,18,20.5,8.3,18.4,45.3,49.7,14.0,6.7,12.6,53.5,6.5,1.6,5.8,27.6
7+ Dribbles,18,12.6,4.6,11.3,40.7,46.8,7.7,3.2,6.9,46.4,4.9,1.4,4.4,31.6
