Category,GP,G,Freq%,FGM,FGA,FG%,eFG%,2Freq%,2FGM,2FGA,2FG%,3Freq%,3PM,3PA,3P%
Catch and Shoot, 16, 16, 56.9, 1.9, 4.6, 41.9, 62.8, 0.0, 0.0, 0.0, -, 56.9, 1.9, 4.6, 41.9
Pull Ups, 16, 8, 13.8, 0.7, 1.1, 61.1, 75.0, 9.2, 0.4, 0.8, 50.0, 4.6, 0.3, 0.4, 83.3
Less than 10 ft, 16, 14, 29.2, 1.6, 2.4, 65.8, 65.8, 29.2, 1.6, 2.4, 65.8, 0.0, 0.0, 0.0, -
