Category,GP,G,DFGM,DFGA,DFG%,FREQ%,FG%,DIFF%
Overall,16,16,3.4,7.1,48.7,100,44.8,3.9
3 Pointers,16,15,1.0,2.6,38.1,37.2,34.2,3.9
2 Pointers,16,16,2.4,4.4,54.9,62.8,53.6,1.3
Less Than 6 Ft,16,13,1.9,2.7,69.8,38.1,62.9,6.9
Less Than 10 Ft,16,14,2.1,3.2,64.7,45.1,58.7,6.1
Greater Than 15 Ft,16,16,1.3,3.3,40.4,46.0,34.7,5.7
