Category,GP,G,Freq%,FGM,FGA,FG%,eFG%,2Freq%,2FGM,2FGA,2FG%,3Freq%,3PM,3PA,3P%
Catch and Shoot, 10, 7, 50.0, 0.9, 1.4, 64.3, 96.4, 3.6, 0.0, 0.1, 0.0, 46.4, 0.9, 1.3, 69.2
Pull Ups, 10, 1, 3.6, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, -, 3.6, 0.0, 0.1, 0.0
Less than 10 ft, 10, 6, 46.4, 0.9, 1.3, 69.2, 69.2, 46.4, 0.9, 1.3, 69.2, 0.0, 0.0, 0.0, -
