Category,GP,G,DFGM,DFGA,DFG%,FREQ%,FG%,DIFF%
Overall,12,12,7.9,17.8,44.6,100.0,50.0,-5.4
3 Pointers,12,12,1.5,5.4,27.7,30.5,35.5,-7.8
2 Pointers,12,12,6.4,12.3,52.0,69.5,57.2,-5.2
Less Than 6 Ft,12,12,4.4,7.4,59.6,41.8,66.2,-6.6
Less Than 10 Ft,12,12,5.2,9.0,57.4,50.7,62.2,-4.8
Greater Than 15 Ft,12,12,1.8,6.9,26.5,39.0,37.2,-10.7
