Category,GP,G,Freq%,FGM,FGA,FG%,eFG%,2Freq%,2FGM,2FGA,2FG%,3Freq%,3PM,3PA,3P%
"Catch and Shoot",10,1,2.9,0.0,0.1,0.0,0.0,2.9,0.0,0.1,0.0,0.0,0.0,0.0,-
"Less than 10 ft",10,9,97.1,2.4,3.3,72.7,72.7,97.1,2.4,3.3,72.7,0.0,0.0,0.0,-
