Player,Team,FREQ R%,PASS,AST,FGM,FGA,FG%,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%
"Knecht, Dalton","LAL",6.9,0.9,0.1,0.1,0.2,50.0,0.1,0.2,50.0,0.0,0.0,-
"Christie, Max","LAL",2.3,0.3,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-
"Reaves, Austin","LAL",16.9,2.2,0.3,0.3,0.4,75.0,0.3,0.4,75.0,0.0,0.0,-
"Reddish, Cam","LAL",3.1,0.4,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-
"Vincent, Gabe","LAL",9.2,1.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,-
"Hachimura, Rui","LAL",1.5,0.2,0.1,0.1,0.2,50.0,0.1,0.2,50.0,0.0,0.0,-
"Russell, D'Angelo","LAL",30.0,3.9,0.2,0.2,0.3,66.7,0.2,0.3,66.7,0.0,0.0,-
"James, LeBron","LAL",30.0,3.9,1.0,1.1,1.9,57.9,1.1,1.9,57.9,0.0,0.0,-
