Category,GP,G,DFGM,DFGA,DFG%,FREQ%,FG%,DIFF%
"Overall",10,10,4.0,8.5,47.1,100,49.0,-2.0
"3 Pointers",10,8,0.8,2.3,34.8,27.1,36.8,-2.0
"2 Pointers",10,9,3.2,6.2,51.6,72.9,55.1,-3.5
"Less Than 6 Ft",10,9,2.5,3.5,71.4,41.2,64.4,7.0
"Less Than 10 Ft",10,9,2.9,4.6,63.0,54.1,59.7,3.4
"Greater Than 15 Ft",10,8,0.8,2.7,29.6,31.8,35.6,-5.9


