Category,GP,G,DFGM,DFGA,DFG%,FREQ%,FG%,DIFF%
Overall,16,16,5.8,11.6,49.7,100,45.3,4.5
3 Pointers,16,16,1.9,4.9,38.0,42.7,35.2,2.8
2 Pointers,16,16,3.9,6.6,58.5,57.3,53.5,5.0
Less Than 6 Ft,16,15,2.6,3.8,67.2,33.0,63.9,3.3
Less Than 10 Ft,16,16,3.1,4.8,64.9,41.6,58.9,6.1
Greater Than 15 Ft,16,16,2.3,5.8,38.7,50.3,36.2,2.5
