Category,GP,G,Freq%,FGM,FGA,FG%,eFG%,2Freq%,2FGM,2FGA,2FG%,3Freq%,3PM,3PA,3P%
Catch and Shoot,16,16,36.4,0.9,3.8,25.0,37.5,0.6,0.0,0.1,0.0,35.8,0.9,3.7,25.4
Pull Ups,16,16,32.1,1.1,3.3,32.1,42.5,13.3,0.4,1.4,27.3,18.8,0.7,1.9,35.5
Less than 10 ft,16,16,31.5,1.9,3.3,59.6,59.6,31.5,1.9,3.3,59.6,0.0,0.0,0.0,-
