Category,GP,G,DFGM,DFGA,DFG%,FREQ%,FG%,DIFF%
3 Pointers,18,17,1.5,4.2,36.0,44.1,37.3,-1.3
2 Pointers,18,18,2.7,5.3,50.5,55.9,55.3,-4.8
Less Than 6 Ft,18,17,2.2,3.8,58.0,40.6,62.8,-4.8
Less Than 10 Ft,18,18,2.4,4.3,55.8,45.3,58.7,-2.9
Overall,18,18,4.2,9.4,44.1,100.0,47.3,-3.1
Greater Than 15 Ft,18,17,1.6,4.6,35.4,48.2,37.3,-2.0
